session,max(max(amplitude)),max(mean(amplitude)),max(var(amplitude)),mean(max(amplitude)),mean(mean(amplitude)),mean(var(amplitude)),var(max(amplitude)),var(mean(amplitude)),var(var(amplitude))
Angry_138,17.6749340194,0.0177344415993,17.1289168001,9.45524646484,-0.000821420648169,3.01260518428,14.3562336542,4.03725421526e-05,7.03462634287
Angry_139,6.14400311931,0.00445972214175,1.48144243372,3.70332584792,-0.00061198264193,0.7565301559,0.803190926941,3.58797954018e-06,0.0842178286402
Angry_14,17.7074537265,0.0255760903114,39.5129270119,14.6506891515,-0.0131974707662,14.8010926865,18.3153953541,0.000189055118023,96.3728066404
Angry_140,4.42889341917,0.00306140271583,1.20418810264,2.9423771748,0.000100451017276,0.617096807492,0.483033560852,1.76587599153e-06,0.050051813703
Angry_141,4.35793006198,0.00192055270892,1.03241203587,2.94820644442,8.75619719304e-05,0.579908844514,0.576361888227,7.25565142821e-07,0.0533181912806
Angry_142,4.23273274129,0.00403940174597,1.29842084865,2.65724359803,0.00011295180657,0.509058588471,0.75533038143,1.70309906276e-06,0.0986058840932
Angry_143,4.81150672589,0.00269107457924,1.57194496343,3.05104085028,9.02083536346e-06,0.591794341789,0.745558602119,1.65035492273e-06,0.110252630092
Angry_144,4.51974988709,0.00328206636205,1.03874080486,2.92936872723,0.000155105309006,0.569619875514,0.629436231769,1.53410801611e-06,0.0441986297764
Angry_145,4.76774282895,0.00207790467517,1.13456333896,2.78185180784,6.06545357947e-05,0.548194443818,0.769365471671,7.97928442597e-07,0.0765172327986
Angry_146,4.09382777367,0.00323269504746,1.09163095365,2.64587280178,0.00011327395014,0.537940962986,0.51672531735,1.25076814964e-06,0.0580527642623
Angry_147,12.4587930067,0.0322212680337,7.2703734824,8.00962331686,0.0042148586001,4.00600327872,4.37186451953,0.000112231962243,2.45911179459
Angry_148,17.3858435723,0.00997948656792,37.1592604476,4.88493115489,0.000293504786709,4.23756766368,40.6249106514,8.09948583704e-06,79.506211782
Angry_149,16.7502142345,0.00510707509266,22.1305672639,6.92378959996,-1.16092231482e-05,4.82032507908,33.7699508028,4.70819695597e-06,34.8258385383
Angry_15,17.8992388352,0.00951358218099,59.3607094794,11.8102487528,-0.012884952677,12.7518359971,40.4439325919,0.000111097312601,188.154625185
Angry_150,17.1337697726,0.0106161485332,25.2516493789,9.88372373016,0.000167554176843,6.84346971542,33.4057572038,1.43402883361e-05,42.6529336622
Angry_151,17.223406881,0.00733685960463,31.3532417765,5.94945495049,7.97995033572e-05,4.27957623634,41.8108907672,8.70072553956e-06,52.2351754681
Angry_152,17.6825259533,0.00827583553498,29.1865843925,9.82543871948,0.000319324418008,8.35894580968,31.5928470232,4.65105246223e-06,68.3292664949
Angry_153,17.1969687079,0.00669030868798,34.6794850741,5.73617816659,0.000116468253773,4.04175242597,43.5401523315,5.36731383674e-06,55.4770740189
Angry_154,17.8563232422,0.0111533416715,62.6881064412,9.91712007277,0.000451320811506,12.3869558472,46.4119842889,1.66554585069e-05,219.252649306
Angry_155,16.9429532245,0.00594996047056,17.9042214094,4.65844587915,0.000170049167338,2.16860985518,22.7919687274,2.58113094154e-06,15.7157955472
Angry_156,13.7922383436,0.001296477648,7.06086113349,3.62086399419,3.23922948762e-05,0.889691645103,16.2820175406,3.06599169541e-07,2.81006200939
Angry_157,12.2792136396,0.00357057549864,6.83477361098,4.10906174118,0.000236747828801,1.34190113008,16.4119024337,1.05304343261e-06,3.50650785129
Angry_158,17.0999951028,0.00790953664261,34.6312925475,9.19994113553,0.00011610511313,4.44204286371,23.3642219518,4.71001941237e-06,40.1574785311
Angry_159,17.1635023357,0.00693610396799,14.774709378,7.86758116543,0.00022474583696,3.95517086968,38.9050600057,2.71398231048e-06,24.2626123577
Angry_16,4.1254411543,0.00503215798198,0.612959946242,2.07561960257,0.000284751885663,0.299033600604,0.808479632699,4.38825826462e-06,0.0325034787083
Angry_160,16.4991779796,0.00692781016355,13.172602844,7.5144745222,0.000150378770758,2.85763791337,15.8062548683,3.26823530964e-06,8.22863128666
Angry_161,16.5279420946,0.00522828310529,8.79813951358,7.53494047025,2.05882901508e-05,2.27021175507,27.4716018914,4.2495566889e-06,5.23643925288
Angry_162,16.6296856986,0.00416519431892,15.099906884,5.75795980808,0.000117678506367,2.26111384598,21.9627355168,2.55010656887e-06,11.9912679749
