session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Happy_236,8674.0,7610.76344086,171306.567696
Happy_237,9173.0,7993.61818182,365912.926942
Happy_238,8474.0,7614.29090909,188021.406281
Happy_239,8659.0,7762.10909091,198405.333554
Happy_240,8626.0,7939.43333333,139771.345556
Happy_241,8688.0,7709.90909091,170167.464463
Happy_242,8368.0,7626.29090909,144262.460826
Happy_243,8979.0,7775.67272727,227911.820165
Happy_244,9242.0,7594.38709677,300470.38779
Happy_245,8157.0,7429.56363636,87441.9550413
Happy_246,8195.0,7397.11111111,131549.129068
Happy_247,8808.0,7602.1038961,172097.651543
Happy_248,8607.0,7925.58181818,87685.8796694
Happy_249,8331.0,7737.10909091,61311.8426446
Happy_250,8783.0,7897.09859155,126248.595914
Happy_251,8481.0,7499.22222222,360617.654321
Happy_252,8888.0,7424.63636364,165656.813223
Happy_253,9744.0,7732.05050505,341591.159065
Happy_254,7715.0,7068.54545455,129996.357025
Happy_255,7748.0,6816.94805195,169678.386912
Happy_256,8327.0,7359.82954545,97000.323218
Happy_257,8312.0,7427.90909091,222291.112948
Happy_258,9196.0,7850.72727273,220927.22865
Happy_259,8625.0,7583.0,120630.894737
Happy_260,8929.0,7934.23636364,365115.089587
Happy_261,8794.0,7607.19318182,227609.087681
Happy_262,7759.0,7067.34545455,154039.426116
Happy_263,8256.0,7422.15,150871.760833
Happy_264,8588.0,7645.15789474,134449.922438
Happy_265,8254.0,7663.89090909,46367.3699174
Happy_266,8530.0,7670.25974026,231878.322145
Happy_267,8897.0,7837.77272727,210999.357438
Happy_268,8435.0,7613.83636364,133865.191405
Happy_269,8277.0,7522.83636364,151497.409587
Happy_270,9344.0,7733.85454545,205808.924298
Happy_271,8430.0,7675.49090909,153313.013554
Happy_272,8184.0,7446.16363636,123296.53686
Happy_273,8027.0,7474.54545455,89797.738843
Happy_274,8298.0,7513.21818182,96205.225124
Happy_275,8357.0,7486.27272727,188036.307438
Happy_276,8781.0,7510.32727273,203748.947438
Happy_277,8294.0,7477.8,174596.850909
Happy_278,8050.0,7539.43636364,123609.482314
Happy_279,8546.0,7521.61818182,199696.672397
Happy_280,8687.0,7561.56363636,104017.627769
Happy_281,8122.0,7375.2,127180.632727
Happy_282,7969.0,7483.09090909,122824.555372
Happy_283,8337.0,7451.18181818,156554.730579
Happy_284,8928.0,7582.01818182,179851.181488
Happy_285,8491.0,7494.63636364,135724.595041
Happy_286,8635.0,7635.8,174259.978182
Happy_287,8867.0,7549.16363636,294589.882314
Happy_288,8605.0,7524.90909091,140016.809917
Happy_289,8798.0,7720.40384615,144086.413831
Happy_290,7511.0,6922.36363636,49153.5041322
Happy_291,7658.0,7095.81818182,135813.421488
Happy_292,7690.0,6919.80519481,136469.351661
Happy_293,8834.0,7606.49295775,147595.630232
Happy_294,8597.0,7544.01818182,181128.745124
Happy_295,9262.0,7577.36363636,324126.667769
Happy_296,8504.0,7539.68292683,173169.655562
Happy_297,7725.0,6702.02631579,145496.762465
Neutral_298,7778.0,6938.70909091,162588.788099
Neutral_299,8478.0,7543.2,136040.450909
Neutral_300,8138.0,7535.69090909,104211.631736
Neutral_301,8238.0,7474.03636364,152461.089587
Neutral_302,8259.0,7610.49090909,107709.922645
Neutral_303,8259.0,7645.27272727,66235.9438017
Neutral_304,8344.0,7599.72727273,116256.743802
Neutral_305,8194.0,7512.30909091,114886.249917
Neutral_306,8738.0,7407.52727273,251643.88562
Neutral_307,8214.0,7567.12727273,80875.2747107
Neutral_308,8536.0,7700.63636364,100388.740496
Neutral_309,8387.0,7639.03636364,102618.398678
Neutral_310,8377.0,7594.12727273,85101.2019835
Neutral_311,8088.0,7516.0,63312.2181818
Neutral_312,8081.0,7550.2,77374.16
Neutral_313,8111.0,6638.72727273,246288.243802
Neutral_314,7929.0,6771.03636364,315290.180496
Neutral_315,8113.0,7012.76363636,279560.944132
Neutral_316,8530.0,7180.32727273,333721.201983
Neutral_317,8179.0,7245.56363636,168323.44595
Neutral_318,8114.0,7159.01818182,241745.981488
Neutral_319,9005.0,7161.60606061,326448.390266
Neutral_320,8210.0,7747.42105263,52015.0858726
Neutral_321,8497.0,7340.89090909,240878.388099
Neutral_322,8699.0,7898.92727273,157347.121983
Neutral_323,8566.0,7749.05454545,149674.960661
Neutral_324,8630.0,7698.41818182,305207.516033
Neutral_325,9058.0,7452.0,316285.963636
Neutral_326,8655.0,7677.96341463,320657.010857
Neutral_327,8464.0,7224.65454545,265018.626116
Neutral_328,9153.0,7549.57575758,303102.244261
Neutral_329,8609.0,7672.38181818,127380.490579
Neutral_330,8301.0,7589.16363636,167386.282314
Neutral_331,8339.0,7482.38181818,222964.054215
Neutral_332,8278.0,7458.94545455,169075.797025
Neutral_333,8370.0,7115.8,183614.232727
Neutral_334,8313.0,7354.65454545,188266.626116
Neutral_335,8333.0,7384.65454545,194116.226116
Neutral_336,8508.0,7864.67272727,139607.929256
Neutral_337,8772.0,7626.88636364,154915.37345
Neutral_338,8513.0,7543.41666667,218717.643056
Neutral_339,7887.0,6843.49090909,202683.631736
Neutral_340,8248.0,7591.85454545,155739.287934
Neutral_341,8477.0,7385.81666667,429326.116389
Neutral_342,7785.0,7061.78181818,152257.625124
Neutral_343,8235.0,7411.92727273,143745.48562
Neutral_344,8721.0,7733.63636364,192583.213223
Neutral_345,8594.0,7724.98181818,173310.090579
Neutral_346,8570.0,7701.79807692,195874.430381
Neutral_347,8228.0,7414.74545455,169860.917025
Neutral_348,7805.0,7178.07272727,152816.103802
Neutral_349,8605.0,7643.47887324,231227.122793
Neutral_350,8491.0,7487.67605634,217214.416187
Neutral_351,9092.0,7635.0,206734.072727
Neutral_352,8422.0,7582.05454545,174745.033388
Neutral_353,8545.0,7575.50909091,127426.104463
Neutral_354,8561.0,7677.12727273,122344.474711
Neutral_355,8273.0,7545.0,113076.145455
Neutral_356,8535.0,7641.45454545,140199.738843
Neutral_357,8271.0,7642.95,108035.2475
Neutral_358,8684.0,7691.50909091,155173.231736
Neutral_359,8325.0,7194.55555556,205903.378227
Neutral_360,7886.0,6929.06818182,237829.290806
Neutral_361,7799.0,7035.6,164272.276364
Neutral_362,8572.0,7368.74545455,343003.17157
Neutral_363,8501.0,7750.68831169,195162.863889
Neutral_364,8472.0,7587.8,211303.941818
Neutral_365,8621.0,7662.87272727,247895.16562
Neutral_366,8408.0,7406.38028169,171961.0244
Neutral_367,8054.0,7544.56363636,78677.7732231
Neutral_368,8128.0,7508.27272727,81567.9801653
Neutral_369,8196.0,7532.90140845,121480.624083
Neutral_370,8902.0,7979.45454545,194298.284298
Neutral_371,8748.0,7974.23636364,267139.671405
Neutral_372,9242.0,7976.07272727,422820.794711
Neutral_373,8968.0,7952.01818182,223957.145124
Neutral_374,8876.0,8015.52727273,215209.412893
Neutral_375,8945.0,7844.45070423,216962.388415
Neutral_376,7696.0,6623.03636364,381788.72595
Neutral_377,7454.0,6461.85454545,262151.797025
Neutral_378,7522.0,6751.96363636,109540.835041
Neutral_379,7703.0,6936.54545455,147647.520661
Neutral_380,7561.0,6713.4,173182.785455
Neutral_381,7685.0,6701.25454545,222047.353388
Neutral_382,7722.0,6686.34545455,195648.917025
Neutral_383,7447.0,6577.69090909,202599.886281
Neutral_384,7454.0,6546.72727273,271453.943802
Neutral_385,7383.0,6609.97402597,187362.025299
Neutral_386,8681.0,7523.79545455,193823.526343
Neutral_387,8058.0,7181.91666667,174798.976389
Neutral_388,8010.0,6752.56363636,340220.64595
Neutral_389,7924.0,7081.55681818,181761.701317
Neutral_390,8481.0,7794.90909091,69196.6280992
Neutral_391,8311.0,7828.67272727,45915.3110744
Neutral_392,8369.0,7788.41346154,49048.5502034
Neutral_393,8494.0,7538.34545455,234892.735207
Neutral_394,8540.0,7522.36363636,256592.595041
Neutral_395,8648.0,7662.81818182,137369.966942
Neutral_396,8510.0,7590.50909091,122363.740826
Neutral_397,8122.0,7109.30909091,118901.704463
Neutral_398,8441.0,7397.56363636,152857.44595
Neutral_399,8274.0,7546.01818182,92826.5633058
Neutral_400,8478.0,7644.29090909,98756.4608264
Neutral_401,8296.0,7630.6,81321.2945455
Neutral_402,8556.0,7743.43636364,79344.3550413
Neutral_403,8164.0,7642.83636364,77950.6095868
Neutral_404,8589.0,7670.03636364,162424.507769
