session,max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Angry_14,12.5563844996,0.00121433048217,0.0116962518733,7.56527135072,0.00092920768236,0.00552946787213,4.64550014694,4.15160684622e-08,5.01708780332e-06
Angry_140,8.89505485636,0.000739986348119,0.00647786465069,4.33933300529,0.000440169161647,0.00287744076016,1.59486322235,3.44757239384e-08,8.10059429064e-07
Angry_141,6.1453009265,0.000617690194836,0.00365972869346,4.11371885358,0.000404625416866,0.00262467301422,0.719410450172,1.8466398328e-08,2.66565014248e-07
Angry_142,5.78197813363,0.000751767704876,0.00351602096027,4.00443779556,0.000430645363339,0.00258317311071,0.71451720156,3.21914615253e-08,2.82105333092e-07
Angry_143,6.44933439718,0.000703467141836,0.00433084275773,4.37018215504,0.000421776841009,0.00275676363408,0.880348367738,5.53556973718e-08,3.59055286038e-07
Angry_144,6.15276990528,0.000714325551232,0.00349568715108,3.88193735296,0.000404543039428,0.00242553817156,0.81004305561,4.01870532895e-08,2.5010648092e-07
Angry_145,6.51604893692,0.000631891183933,0.00445492372088,4.18461559042,0.000337285948691,0.00272494556162,1.21355716655,5.66208740416e-08,4.81246880418e-07
Angry_146,6.11398571259,0.000711592177365,0.00407455748617,3.69861869336,0.00037293221278,0.00239215035933,0.823039633421,4.59702623473e-08,3.46940204851e-07
Angry_147,7.99717501323,0.00112624267072,0.00594391364689,5.82418706449,0.000798208234832,0.00389205903173,1.13627923103,4.30877146213e-08,7.5475955491e-07
Angry_148,8.94001742645,0.000914870699077,0.00697007455245,4.6113388019,0.000305978019863,0.00294692149877,4.79997219304,9.48216947128e-08,2.67882372735e-06
Angry_149,10.0013427247,0.00084296745133,0.00822699413969,6.11139375752,0.000384159130856,0.00429396502183,6.91376130953,6.80587447027e-08,5.11890820946e-06
Angry_15,10.133869027,0.00117765412255,0.00820384277032,6.39983393136,0.000899394214325,0.004504789699,5.65107648547,4.40836477148e-08,3.82614837569e-06
Angry_150,10.1891512342,0.000935317645064,0.00795602785579,6.84260866676,0.000518593803776,0.00500246168892,5.09084391687,7.24864589265e-08,3.81863107208e-06
Angry_151,11.0681788949,0.00090058042109,0.00878334679833,5.43740362888,0.000304047267503,0.00379501874873,5.94873275768,1.07451139172e-07,4.15762202357e-06
Angry_152,10.8776066553,0.000881113121865,0.00943229540672,7.26972694816,0.000397116917777,0.00532566580571,5.56130650823,9.87168825323e-08,4.97002117559e-06
Angry_153,10.566437035,0.000891687635591,0.00918807358636,5.43630946,0.000302733331933,0.00374076280334,6.45169426337,7.96151338437e-08,5.00261518697e-06
Angry_154,11.761767471,0.000934925514762,0.0102168335267,6.89587092811,0.000521023870658,0.00487639972515,7.08749359373,8.89693755894e-08,5.45638829216e-06
Angry_155,10.209367055,0.000829899545149,0.0088779454855,5.05476599274,0.000359063929865,0.00348833016455,5.20473180555,5.1221548429e-08,4.40808579291e-06
Angry_156,10.6514779074,0.000620248181837,0.00934506641173,4.83558925399,0.000236050296672,0.00336468425155,4.78813907071,3.97605392487e-08,4.16746166516e-06
Angry_157,10.4252128359,0.000729519577984,0.00905159565479,5.09555493734,0.000254059760274,0.00345776209623,5.3191037852,6.75657834657e-08,3.95873624539e-06
Angry_158,10.2535373644,0.000872949147631,0.00864945522773,7.38865152239,0.000514034801771,0.00565511988132,3.76318310725,3.3636760448e-08,3.02181200364e-06
Angry_159,10.7078266941,0.000849265690481,0.00934770780701,6.45386645605,0.000413118402426,0.00481304456612,4.33148254127,7.86399004143e-08,3.217465363e-06
Angry_16,4.90174036854,0.000822226818886,0.0036202193765,3.67794258399,0.000464138955791,0.00257027514155,0.230865598726,5.0066672591e-08,2.8071059364e-07
Angry_160,10.7999949752,0.000849049924719,0.00967014780562,6.44062566685,0.000482284961809,0.00460388409599,3.65399182596,3.15759609332e-08,3.03525272188e-06
Angry_161,11.8456751236,0.000798292157933,0.0108935872473,6.08954395819,0.000492879187731,0.00442164112192,4.23641220817,4.11097373714e-08,4.01989579624e-06
Angry_162,11.1277925024,0.000757297975406,0.00937581051924,6.04029084833,0.000470872626081,0.00458160872686,4.26375866597,3.32558084886e-08,3.1633713658e-06
Angry_163,10.424547794,0.000798370469183,0.00934330176185,6.00071437587,0.000421985382548,0.00460831404046,5.1893546961,4.48036376613e-08,4.14280456452e-06
Angry_164,8.16693829007,0.000756435158236,0.00670075943299,5.54438900752,0.000399717531693,0.00412489760213,2.03057203485,4.15001529817e-08,1.31278763701e-06
Angry_165,11.0040400729,0.000873205860517,0.00935642524249,6.86430801468,0.000501522845632,0.00514266828351,4.90734806655,5.38067932909e-08,3.7594036475e-06
Angry_166,9.40654883743,0.000903429765038,0.00740335958034,4.85900343742,0.000340003820032,0.00330402098778,2.47935822204,5.24285773586e-08,1.8608488214e-06
Angry_167,10.1634156893,0.000963682882323,0.00829668845045,7.15375533371,0.000503265659346,0.00524842195181,3.53317847337,7.18498493646e-08,2.92415833464e-06
Angry_168,9.27456256056,0.000832142055971,0.00778223698947,6.50307733913,0.000475896926462,0.00458875112764,3.04226242671,6.67790145238e-08,2.20685206232e-06
Angry_169,10.8432041235,0.000852255956685,0.00858914071475,7.24198813245,0.000546431249411,0.00526387846251,2.70889116391,3.70850059953e-08,2.42502770169e-06
Angry_17,5.42868982044,0.000699681957126,0.00369295763493,3.84388993915,0.00041728229319,0.00277019820169,0.29325445878,4.35702728992e-08,2.1990983908e-07
Angry_170,11.0811560154,0.000852877328261,0.0100370535498,7.29432200075,0.000549121556386,0.00547894957019,5.52814664473,5.87064840946e-08,5.10278435725e-06
Angry_171,10.8786629995,0.000918071465721,0.00959822551746,7.5394915365,0.000586889307406,0.0055119558418,2.84823000245,5.80571303374e-08,2.70937919667e-06
Angry_172,12.2080964933,0.000892735631488,0.0116141169851,6.73479967423,0.00049812980175,0.00503047063949,5.98924783915,2.90839235943e-08,5.63564700066e-06
Angry_173,10.99530458,0.000883731829808,0.00976536886108,8.18809540377,0.000587914900497,0.00638768270745,3.89673981164,4.68516354024e-08,4.03200511597e-06
Angry_174,10.1138122881,0.000904889813036,0.00811054912683,7.1402044982,0.000549239498622,0.00519436247691,3.36334293543,7.95507694073e-08,2.64875913916e-06
Angry_175,9.87256918575,0.000808548152393,0.00856611125698,5.29244934681,0.000303145412525,0.00378542430039,5.52578423708,6.49041319171e-08,4.50729231382e-06
Angry_176,11.73850238,0.000870156511845,0.0110969114219,8.06583819785,0.000454862332014,0.00640295626689,5.314369907,8.10676852655e-08,5.16159801056e-06
Angry_177,9.28488211757,0.00103237444126,0.00673477753514,5.75740080849,0.000603373225409,0.00399809334184,1.88726937637,5.80970954382e-08,1.12744221195e-06
Angry_178,7.02465152857,0.000848045732312,0.00488278971505,4.50619534315,0.000529173409712,0.00311330621007,1.25707111115,3.10461428781e-08,5.29846636499e-07
Angry_179,8.28825314085,0.00120172987281,0.00654573582185,4.6985984882,0.000629377917139,0.00351623807058,3.80730217827,4.15362396555e-08,1.83013259548e-06
Angry_18,5.4330444825,0.000781551474522,0.00396029156412,3.85944064503,0.000442992228282,0.00270743143705,0.639300986707,4.79664277638e-08,5.00022390374e-07
Angry_180,9.25777802606,0.00111721653412,0.00694539928331,6.09798631361,0.000680119793339,0.0042723155923,1.79574500606,5.73119525008e-08,1.20838204561e-06
Angry_181,7.16869572643,0.00106295552049,0.00545396191011,5.77166088425,0.000600942807355,0.00392536450823,0.790466907632,5.74377887274e-08,4.7776869556e-07
Angry_182,8.09378662378,0.00110958605223,0.00634488826007,5.55200669858,0.000684520998822,0.0039268446039,2.0033327213,5.54302515515e-08,1.10621804932e-06
Angry_183,7.12545073564,0.000892307716048,0.00494588851187,4.67291046554,0.000544394950412,0.00326716375953,0.932991392494,3.91112109747e-08,4.97675444622e-07
Angry_184,10.3823804907,0.00117894781407,0.00817471643916,5.04537165663,0.000880209697767,0.00311255532092,1.51493007138,3.28138473623e-08,9.84921120939e-07
Angry_185,9.25055582396,0.00113386730004,0.00664350721386,5.25281817087,0.000682398461952,0.00356630678885,1.95511325077,5.10888368224e-08,1.11001950227e-06
Angry_186,8.01360174689,0.00113597551343,0.0058506918146,5.03616286622,0.00063179917042,0.00349972767979,1.61168569494,6.62586790417e-08,7.49701822648e-07
Angry_187,5.76118220806,0.000765949001437,0.00383093485667,4.00921955068,0.000480477115921,0.0026418070825,0.589130040639,5.12187769223e-08,2.60120110656e-07
Angry_188,6.85597939225,0.000885110238088,0.00503487664593,4.36710630499,0.000481575469655,0.00287714265519,1.40775947778,6.20118573189e-08,6.91623316891e-07
Angry_189,5.44037490861,0.0006307612775,0.00390032657286,3.82716186204,0.000354221028734,0.00272065747972,0.439559192901,3.8772967606e-08,3.8573391989e-07
Angry_19,5.65124979073,0.000789483194307,0.00421258215924,3.85355176181,0.000430685459284,0.00270596363275,0.716353857211,5.23516063843e-08,4.96783211503e-07
Angry_190,5.58715862826,0.000745426592933,0.00374966708184,3.7124875841,0.000429408627647,0.00258026536354,0.442475454588,4.41838981461e-08,3.33356569062e-07
Angry_191,5.78488355092,0.000755964100731,0.00439738391158,3.73384844612,0.00044685396357,0.00258510547367,0.866834544605,4.13272046859e-08,7.05721782887e-07
Angry_192,6.27940956778,0.000729762849832,0.00427276134267,4.10009542087,0.000470705339993,0.00292628793052,0.59462400206,3.05713570638e-08,4.68156548413e-07
Angry_193,6.92646492659,0.000831181137492,0.00535627369325,5.10130272376,0.000560403717338,0.00362909310345,1.08903281353,3.03050377416e-08,6.40742896167e-07
Angry_194,5.08081440446,0.000697583058196,0.00326045976276,3.53537974748,0.000415766466569,0.00246751579559,0.209066681757,4.6686501031e-08,1.75033112736e-07
Angry_195,5.43473939633,0.000707585912473,0.00368562986772,3.79100855785,0.000384098618921,0.00268667571334,0.250707674218,4.93825688208e-08,1.91788375246e-07
Angry_196,8.63456485097,0.00113763745007,0.00668513787007,6.20363216033,0.00076516628581,0.00451802814441,2.97655748987,5.81037264742e-08,1.92024168714e-06
Angry_197,6.15311729119,0.000819795922348,0.00408869235099,3.88769276381,0.000435366164214,0.00266739276032,0.774833672864,4.52113220046e-08,4.09466585793e-07
