,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Neutral_311,0.0,0.0,2.0,53.0,27.0,26.0,2.0,0.0,28.0,25.0,1.0,1.0,0.0,4.0,50.0,1.0,0.2324884831905365,0.24599094688892365,0.4331301152706146,0.08839037269353867,0.0010220481781288981,0.0017088085878640413,0.009370625019073486,0.008033771067857742,0.2169077843427658,0.21853772550821304,0.4102608561515808,0.058260153979063034,0.2479344680905342,0.2577492594718933,0.4908047467470169,0.07963063940405846,0.2983925938606262,0.3625265061855316,0.6160476803779602,0.6632229685783386,0.2983925938606262,0.3625265061855316,0.6160476803779602,0.6632229685783386
Angry_197,0.0,0.0,2.0,53.0,14.0,40.0,1.0,0.0,40.0,15.0,0.0,0.0,1.0,0.0,52.0,2.0,0.25142690539360046,0.217564195394516,0.4236662983894348,0.10734249651432037,0.0021968171931803226,0.0017681036842986941,0.010651487857103348,0.014046604745090008,0.23171944916248322,0.19694015383720398,0.38601794838905334,0.054031942039728165,0.27636003494262695,0.24804528802633286,0.4876326322555542,0.11681722104549408,0.3366943299770355,0.3025800883769989,0.5778894424438477,0.8439070582389832,0.3366943299770355,0.3025800883769989,0.5778894424438477,0.8439070582389832
Sad_529,1.0,6.0,23.0,25.0,17.0,29.0,6.0,3.0,28.0,20.0,6.0,1.0,9.0,0.0,20.0,26.0,0.21797260642051697,0.18280892074108124,0.24216772615909576,0.3570508658885956,0.010138443671166897,0.004614437930285931,0.032004956156015396,0.08794381469488144,0.15518026798963547,0.13187464326620102,0.088804442435503,0.09505385905504227,0.29544779658317566,0.22757194191217422,0.38120362162590027,0.5748320817947388,0.3621690273284912,0.3085583448410034,0.6665799617767334,0.9636961221694946,0.3621690273284912,0.3085583448410034,0.6665799617767334,0.9636961221694946
Sad_670,0.0,0.0,0.0,55.0,20.0,35.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,0.0,55.0,0.0,0.22834621369838715,0.2185187190771103,0.4893724024295807,0.06376269459724426,0.0005555095849558711,0.00037483888445422053,0.002742944983765483,0.00036943473969586194,0.21712303161621094,0.20505157858133316,0.4555330276489258,0.054503900930285454,0.24152319878339767,0.23044925183057785,0.5152595937252045,0.07127892598509789,0.2745145559310913,0.26106205582618713,0.6242161989212036,0.12901438772678375,0.2745145559310913,0.26106205582618713,0.6242161989212036,0.12901438772678375
Angry_64,1.0,2.0,3.0,49.0,9.0,43.0,1.0,2.0,40.0,10.0,5.0,0.0,5.0,0.0,46.0,4.0,0.27392882108688354,0.23247410356998444,0.3693320155143738,0.12426502257585526,0.0022071877028793097,0.0009084452758543193,0.007634914945811033,0.012895197607576847,0.2548605054616928,0.21442417055368423,0.32979346811771393,0.06899283826351166,0.30398908257484436,0.2527177482843399,0.42692388594150543,0.13130991160869598,0.3372246325016022,0.29482221603393555,0.5358684062957764,0.8069571852684021,0.3372246325016022,0.29482221603393555,0.5358684062957764,0.8069571852684021
Angry_16,1.0,0.0,4.0,50.0,10.0,43.0,1.0,1.0,39.0,11.0,4.0,1.0,5.0,1.0,46.0,3.0,0.25002920627593994,0.22832834720611572,0.39515218138694763,0.1264902502298355,0.0022675557993352413,0.0016790754161775112,0.014393145218491554,0.018361771479249,0.21431232243776321,0.21029144525527954,0.32245974242687225,0.06466642767190933,0.279845267534256,0.24961748719215393,0.4737197309732437,0.14408835023641586,0.32956627011299133,0.3279411792755127,0.5837173461914062,0.8837153911590576,0.32956627011299133,0.3279411792755127,0.5837173461914062,0.8837153911590576
Sad_567,4.0,0.0,19.0,32.0,14.0,32.0,7.0,2.0,28.0,20.0,5.0,2.0,9.0,3.0,24.0,19.0,0.23522017896175385,0.23594169318675995,0.2586049735546112,0.2702332139015198,0.005377361550927162,0.0032657324336469173,0.022983381524682045,0.05096975341439247,0.20299942046403885,0.21671611815690994,0.1189352311193943,0.08866488561034203,0.28371497988700867,0.2788117974996567,0.4021846055984497,0.43241579830646515,0.3719664216041565,0.31811749935150146,0.5714665651321411,0.7966030836105347,0.3719664216041565,0.31811749935150146,0.5714665651321411,0.7966030836105347
Neutral_483,0.0,0.0,4.0,51.0,20.0,33.0,1.0,1.0,34.0,18.0,2.0,1.0,1.0,4.0,48.0,2.0,0.23535923659801483,0.23404228687286377,0.44166141748428345,0.08893703669309616,0.002160134259611368,0.002936311298981309,0.01514330692589283,0.019059371203184128,0.211373470723629,0.20525415241718292,0.41934797167778015,0.039019087329506874,0.2627938836812973,0.24581461399793625,0.5120038986206055,0.06733796373009682,0.3190630376338959,0.38968169689178467,0.6014646887779236,0.9036564230918884,0.3190630376338959,0.38968169689178467,0.6014646887779236,0.9036564230918884
Angry_48,1.0,0.0,0.0,54.0,13.0,42.0,0.0,0.0,41.0,13.0,1.0,0.0,0.0,0.0,54.0,1.0,0.22933267056941986,0.20902737975120544,0.49649953842163086,0.06514038145542145,0.0010073418961837888,0.0005101434071548283,0.004126039799302816,0.001565133803524077,0.21045973896980286,0.19537203758955002,0.45498552918434143,0.043359292671084404,0.2475222423672676,0.22118224203586578,0.5371697247028351,0.07124173268675804,0.3120131492614746,0.27140364050865173,0.6373507976531982,0.2925308644771576,0.3120131492614746,0.27140364050865173,0.6373507976531982,0.2925308644771576
Angry_82,0.0,3.0,0.0,52.0,3.0,49.0,0.0,3.0,49.0,3.0,3.0,0.0,3.0,0.0,52.0,0.0,0.28521832823753357,0.2304321676492691,0.38184550404548645,0.10250398516654968,0.0005561878206208348,0.0003555390576366335,0.0026849021669477224,0.002028939314186573,0.2713316082954407,0.21419519931077957,0.3434090316295624,0.06943491473793983,0.30143705010414124,0.24296855926513672,0.41929444670677185,0.12425720319151878,0.3227042257785797,0.2724219858646393,0.48669666051864624,0.23268401622772217,0.3227042257785797,0.2724219858646393,0.48669666051864624,0.23268401622772217
